1544	Cắt bỏ u hắc tố	Melanin Tumour
1545	Mổ u tuyến mang tai 	Tuyen mang tai
1546	Mài xương gồ	Mai xuong go
1547	Chỉnh hình tai vễnh	Tai venh
1548	Điều trị OBAGI	OBAGI
1549	Treo cơ nâng mi (T)	Treo CNM (T)
1550	Treo cơ nâng mi (P)	Treo CNM (P)
1551	U vàng quanh mắt	U vang
1552	Biến chứng	Bien chung
1553	Nâng mũi bằng Aquamid	Nose Aug Aquamid
1554	Hút mỡ má	Cheek Liposuction
1555	Nâng xương chính mũi	Nâng xương chính mũi
1556	Silicon mí dưới	Lower Eye Sili
1558	PRP	PRP
1559	Back silicon	Back silicon
1560	Chỉnh hình mũi bằng sụn sườn	Nose Aug Cost
1562	Rãnh mũi môi	NLF
1563	Cắt bỏ tuyến vú phụ (T)	Cắt bỏ tuyến vú phụ (T)
1564	Cắt bỏ tuyến vú phụ (P)	Cắt bỏ tuyến vú phụ (P)
1565	Lấy bỏ implant mũi, chỉnh hình mũi bằng sụn vành tai	Implant removal, nose aug earcarti
1566	Lấy bỏ implant mũi, bơm mỡ vào mũi	Implant Removal, Nose fat injection
1567	Lấy bỏ Implant mí trên	Upper Eye Implant Removal
1568	Hút mỡ ngực	B Liposuction
1569	Bơm mỡ vào trán	Forehead Fat Injection
1570	Cắt tuyến vú nam	GYNECOMASTIC
1571	Bơm mỡ vào mũi	Nose fat injection
1572	Chỉnh cánh mũi bằng sụn vành tai	Alar-R Aug Earcarti
1573	Độn cằm bằng Aquamid	Chin Aug Aquamid
1574	Nạo silicon, bơm mỡ vào mũi	Sili Removal, Nose fat injection
1575	Chỉnh đầu mũi	Chỉnh đầu mũi
1576	Lấy Implant má	Cheek Implant Removal
1577	Chỉnh cánh mũi	Chinh canh mui
1578	Chỉnh hình mũi Fas+Sụn vành tai	Nose Aug Fas + Earcarti
1579	Chỉnh hình mũi Silas + Sụn vành tai	Nose Aug Silas + Earcarti
1580	Chỉnh hình mũi cấu trúc hiện đại Châu Á	Nose Aug Structural Modern
1581	Chỉnh đầu mũi bằng sụn vành tai	Chỉnh đầu mũi bằng sụn vành tai
1582	Chỉnh cánh mũi bằng sụn vành tai	Chỉnh cánh mũi bằng sụn vành tai
